,idx,N°_dépot,N°_caisse,Localité,année,N°_cantonal,Lieu_dit,N°_terrain,Matière,Caractéristique,Description_de_l_objet,Altitude,UF,Période_culturelle,Année_de_restauration,Etat_de_conservation,Fiche_ITMS_non,Remarque_restauration,Coord_X,Coord_Y,Mat_prem,Typologie,Integrite,Etat_surface,Longueur,Largeur,Epaisseur,Poids,Type_de_talon,Bulbe,Levre,Esquille_bulbaire,Retouche,Cortex,Dessin,Remarque,Technologie,Accident
0,6,Spira,33,CHE,2012,7827,BR,416,lit,sil,nucléus,,A5,,,,,,0.0,5.0,1,,DI,,35.1,26.6,22.1,,IN,IN,IN,IN,,,,,Nucléus,
1,13,Spira,33,CHE,2012,7834,BR,416,lit,sil,lamelle retouchée,,A5,,,,,,0.0,5.0,1,,ME,,47.6,11,4.5,,IN,IN,IN,IN,7834,,,,Lamelle,
2,14,Spira,33,CHE,2012,7835,BR,416,lit,sil,nucléus ?,,A5,,,,,,0.0,5.0,1,,IN,,27.7,21.8,15,,IN,IN,IN,IN,,,,à voir,Nucléus,
3,19,Spira,33,CHE,2012,7840,BR,670,lit,sil,lamelle,,A6,,,,,,0.0,6.0,1,,ME,,27.6,8.8,3.7,,IN,IN,IN,IN,,,,,Lamelle,
4,23,Spira,33,CHE,2012,7844,BR,440,lit,sil,lame retouchée,,A7,,,,,,0.0,7.0,7844,,EN,,84.5,25.6,10,,LI,PR,AB,AB,7844,7844,7844,,Lame,
5,25,Spira,33,CHE,2012,7846,BR,440,lit,sil,lamelle ,,A7,,,,,,0.0,7.0,7832,,DI,,36.4,16.6,5.5,,LI,PR,AB,AB,,,7846,,Lamelle,
6,29,Spira,33,CHE,2012,7850,BR,440,lit,sil,flanc nucléus,,A7,,,,,,0.0,7.0,1,,,,16.7,25.3,11.9,,IN,IN,IN,IN,,,7850,,Nucléus,
7,30,Spira,33,CHE,2012,7851,BR,440,lit,sil,fragment lamelle,,A7,,,,,,0.0,7.0,1,,DI,,"14,2","12,2","2,6",,IN,IN,IN,IN,,,,,Lamelle,
8,33,Spira,33,CHE,2012,7854,BR,440,lit,sil,2 esquilles,,A7,,,,,,0.0,7.0,1,,IN,,"5,1","4,2","1,1",,IN,IN,IN,IN,,,,,Esquille,
9,34,Spira,33,CHE,2012,7855,BR,455,lit,sil,nucléus,,A8,,,,,,0.0,8.0,1,,IN,,"48,8","29,2","22,6",,IN,IN,IN,IN,,,,à voir,Nucléus,
10,35,Spira,33,CHE,2012,7856,BR,456,lit,sil,fragment lame retouchée,,A8,,,,,,0.0,8.0,7856,,DI,,56,"19,6","3,7",,IN,IN,IN,IN,7856,,,,Lame,
11,36,Spira,33,CHE,2012,7857,BR,457,lit,sil,lamelle,,A8,,,,,,0.0,8.0,1,,EN,,"22,2","9,8","3,7",,IN,PR,IN,IN,,,,,Lamelle,
