N° dépôt;N° caisse;Commune;Année;N° cant;Lieu-dit;N° terrain;Récolement LM 2021;Matière ;Caractéristique;Description de l'objet ;Nombre;Notes;ramassage surface;Déblais;couche;situation;altitude;Localisation en mètre Nord;Localisation en mètre Sud;N° St;Déc.;UF;Date de découverte;Période culturelle;Datation;Année de restauration;Etat de conservation;N° Photos;A;Fiche ITMS oui;Fiche ITMS non;Publication;Dessin (+ échelle);Inventorier le, par Nom / date;Envoi restauration;Retour restauration;Remarques
Spira;6;CHE;2013;1815;BR;3790;x;lit;silex;éclat;;;;;3;base;;;;;;A11;14.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1816;BR;3790;x;lit;silex;éclat;;;;;3;base;;;;;;A11;14.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1817;BR;3790;x;lit;silex;éclat;;;;;3;base;;;;;;A11;14.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1818;BR;3791;x;lit;silex;lamelle;;;;;4;sommet;;;;;;A11;14.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1819;BR;3791;x;lit;silex;éclat;;;;;4;sommet;;;;;;A11;14.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1820;BR;3791;x;lit;silex;éclat;;;;;4;sommet;;;;;;A11;14.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1821;BR;3791;x;lit;silex;éclat;;;;;4;sommet;;;;;;A11;14.mars;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1822;BR;3834;x;lit;silex;fragmen lame;;;;;3;base;;;;;;A11;13.mai;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1823;BR;3935;x;lit;silex;éclat cortical;;;;;4;;;;;;;A11;17.mai;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1824;BR;3968;x;lit;silex;nucléus;;;;;4;sommet;;;;;;A11;03.juin;;;;;;;;;;;lm 2014-15;;;
Spira;6;CHE;2013;1825;BR;3968;x;lit;silex;éclat;;;;;;;;;;;;A11;03.juin;;;;;;;;;;;lm 2014-15;;;
