N°_dépôt;N°_caisse;Localité;Année;N°_cantonal;Lieu-dit;N°_terrain;Récolement_LM_2021;Matière;Caractéristique;Description_de_l'objet;Ramassage_surface;Déblais;N°_couche;Situation;Altitude;Loc_Nord;Loc_Sud;N°_structure;N°_décapage;UF;Date_découverte;Période_culturelle;Datation;Année_de_restauration;Etat_de_conservation;N°_Photos_DE;Fiche_ITMS_oui;Fiche_ITMS_non;Publication;Dessin_(+_échelle);Inventorier_le,_par_Nom_/_date;Envoi_MR;Remarque_restauration;Retour_MR;Remarque
Spira;33;CHE;2012;7821;BR;1397;x;lit;sil;1 éclat;;;4;;;;;;;A3;31.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7822;BR;1398;x;lit;sil;1 éclat;;;3;sommet;;;;;;A3;31.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7823;BR;1400;x;lit;sil;1 éclat (grand);;;4;;;;;;;A3;31.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7824;BR;1404;x;lit;sil;1 éclat (grand);;;4;;;;;;;A3;31.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7825;BR;1405;x;lit;sil;1 éclat;;;4;;;;;;;A3;31.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7826;BR;741;x;lit;sil;éclat cortical;;;3;base;;;;;;A4;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7827;BR;416;x;lit;sil;nucléus;;;3;base;;;;;;A5;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7828;BR;741;x;lit;sil;éclat;;;3;base;;;;;;A4;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7829;BR;741;x;lit;sil;éclat;;;3;base;;;;;;A4;24.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7830;BR;416;x;lit;sil;éclat;;;3;base;;;;;;A5;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7831;BR;416;x;lit;sil;éclat;;;3;base;;;;;;A5;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7832;BR;416;x;lit;sil;éclat lamelle;;;3;base;;;;;;A5;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7833;BR;416;x;lit;sil;éclat lamelle retouchée;;;3;base;;;;;;A5;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7834;BR;416;x;lit;sil;lamelle retouchée;;;3;base;;;;;;A5;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7835;BR;416;x;lit;sil;nucléus ?;;;3;base;;;;;;A5;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7836;BR;432;x;lit;sil;éclat;;;3;base;;;;;;A6;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7837;BR;432;x;lit;sil;éclat ;;;3;base;;;;;;A6;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7838;BR;433;x;lit;sil;éclat;;;3;milieu;;;;;;A6;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7839;BR;433;x;lit;sil;éclat;;;3;milieu;;;;;;A6;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7840;BR;670;x;lit;sil;lamelle;;;3;base;;;;;;A6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7841;BR;670;x;lit;sil;éclat cortical;;;3;base;;;;;;A6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7842;BR;670;x;lit;sil;éclat cortical;;;3;base;;;;;;A6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7843;BR;670;x;lit;sil;éclat cortical;;;3;base;;;;;;A6;23.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7844;BR;440;x;lit;sil;lame retouchée;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7845;BR;440;x;lit;sil;éclat;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7846;BR;440;x;lit;sil;lamelle ;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7847;BR;440;x;lit;sil;éclat cortical;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7848;BR;440;x;lit;sil;éclat cortical;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7849;BR;440;x;lit;sil;éclat cortical;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7850;BR;440;x;lit;sil;flanc nucléus;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7851;BR;440;x;lit;sil;fragment lamelle;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7852;BR;440;x;lit;sil;éclat;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7853;BR;440;x;lit;sil;éclat;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7854;BR;440;x;lit;sil;2 esquilles;;;3;base;;;;;;A7;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7855;BR;455;x;lit;sil;nucléus;;;3;base;;;;;;A8;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7856;BR;456;x;lit;sil;fragment lame retouchée;;;3;base;;;;;;A8;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7857;BR;457;x;lit;sil;lamelle;;;3;base;;;;;;A8;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7858;BR;457;x;lit;sil;lamelle;;;3;base;;;;;;A8;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7859;BR;457;x;lit;sil;fragment lamelle;;;3;base;;;;;;A8;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7860;BR;457;x;lit;sil;esquille;;;3;base;;;;;;A8;15.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7861;BR;551;x;lit;sil;éclat;;;3;base;;;;;;A8;21.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7862;BR;283;x;lit;sil;fragment lame cortical;;;3;base;;;;;;A9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7863;BR;283;x;lit;sil;fragment lamelle;;;3;base;;;;;;A9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7864;BR;283;x;lit;sil;fragmnet lamelle;;;3;base;;;;;;A9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7865;BR;283;x;lit;sil;éclat cortical;;;3;base;;;;;;A9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7866;BR;283;x;lit;sil;éclat;;;3;base;;;;;;A9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7867;BR;283;x;lit;sil;éclat;;;3;base;;;;;;A9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7868;BR;283;x;lit;sil;éclat;;;3;base;;;;;;A9;16.05;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7869;BR;3721;x;lit;sil;1 petit éclat;;;2.4;;;;;;;A11;20.11;;;;;;;;;;lm 2014;;;;
Spira;33;CHE;2012;7870;BR;3749;x;lit;sil;lamelle retouchée;;;4;;;;;;;A11;04.12;;;;;;;;;;lm 2014;;;;
