110;Bitroncatures symétriques à retouches abruptes;Trapèze symétrique;;Trapèze symétrique;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_110.png
121;Bitroncatures symétriques à retouches abruptes;Armature trapézoïdale symétrique;Flèche tranchante trapézoïdale;Flèche tranchante trapézoïdale;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_121.png
122;Bitroncatures symétriques à retouches abruptes;Armature trapézoïdale symétrique;Flèche tranchante trapézoïdale à troncature;Flèche tranchante trapézoïdale à troncature;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_122.png
131;Bitroncatures symétriques à retouches abruptes;Armature triangulaire symétrique;Triangle isocèle mince;Triangle isocèle mince;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_131.png
132;Bitroncatures symétriques à retouches abruptes;Armature triangulaire symétrique;Triangle isocèle large ou équi latéral;Triangle isocèle large ou équilatéral;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_132.png
133;Bitroncatures symétriques à retouches abruptes;Armature triangulaire symétrique;Flèche tranchante triangulaire;Flèche tranchante triangulaire;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_133.png
210;Bitroncatures symétriques à retouches bifaciales semi-abruptes;Armature du Chêtelet;;Armature du Chêtelet;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_210.png
220;Bitroncatures symétriques à retouches bifaciales semi-abruptes;Ségment du Bêtey;;Ségment du Bêtey;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_220.png
230;Bitroncatures symétriques à retouches bifaciales semi-abruptes;Triangle du Bêtey;;Triangle du Bêtey;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_230.png
310;Bitroncatures symétriques à retouches abruptes puis rasantes;Trapèze symétrique à retouches inverses rasantes;;Trapèze symétrique à retouches inverses rasantes;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_310.png
320;Bitroncatures symétriques à retouches abruptes puis rasantes;Flèche de Montclus/Flèche de Jean-Cros;;Flèche de Montclus/Flèche de Jean-Cros;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_320.png
410;Trapèzes asymétriques;Trapèze asymétrique simple;;Trapèze asymétrique simple;
420;Trapèzes asymétriques;Trapèze de Téviec;;Trapèze de Téviec;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_420.png
430;Trapèzes asymétriques;Trapèze du Payré;;Trapèze du Payré;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_430.png
440;Trapèzes asymétriques;Trapèze rectangle;;Trapèze rectangle;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_440.png
450;Trapèzes asymétriques;Trapèze du Martinet;;Trapèze du Martinet;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_450.png
511;Triangles scalènes;Triangle scalène simple;Triangle scalène à épine;Triangle scalène à épine;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_511.png
512;Triangles scalènes;Triangle scalène simple;Triangle de Montclus;Triangle de Montclus;
521;Triangles scalènes;Armature triangulaire asymétrique à retouches inverses rasantes;Armature à éperon;Armature à éperon;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_521.png
522;Triangles scalènes;Armature triangulaire asymétrique à retouches inverses rasantes;Pointe de Soncchamp;Pointe de Soncchamp;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_522.png
610;Pointes;Pointes à troncature oblique;;Pointes à troncature oblique;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_610.png
620;Pointes;Pointes à bord abattu;;Pointes à bord abattu;
631;Pointes;Pointe à base retouchée;Pointe à base retouchée à retouches rasantes;Pointe à base retouchée à retouches rasantes;C:\Users\arman\OneDrive\Documents\GitHub\memoire\data\Images\Typo_arma_531.png
